system,t_s,availability_pct_mean,under_attack
ids_ips,42.0,91.47435897435898,False
ids_ips,45.0,91.66666666666667,False
ids_ips,48.0,91.21794871794872,False
ids_ips,51.0,91.28205128205128,False
ids_ips,54.0,90.7051282051282,False
ids_ips,57.0,91.02564102564102,False
ids_ips,60.0,85.38461538461539,True
ids_ips,63.0,85.32051282051282,True
ids_ips,66.0,84.35897435897436,True
ids_ips,69.0,83.97435897435898,True
ids_ips,72.0,85.0,True
ids_ips,75.0,84.1025641025641,True
ids_ips,78.0,84.74358974358974,True
ids_ips,81.0,84.03846153846153,True
ids_ips,84.0,84.42307692307692,True
ids_ips,87.0,85.64102564102564,True
ids_ips,90.0,84.87179487179488,True
ids_ips,93.0,85.57692307692308,True
ids_ips,96.0,85.1923076923077,True
ids_ips,99.0,85.7051282051282,True
ids_ips,102.0,84.67948717948718,True
ids_ips,105.0,85.25641025641026,True
ids_ips,108.0,85.0,True
ids_ips,111.0,84.55128205128204,True
ids_ips,114.0,85.06410256410257,True
ids_ips,117.0,84.55128205128204,True
ids_ips,120.0,85.1923076923077,True
ids_ips,123.0,85.1923076923077,True
ids_ips,126.0,84.55128205128206,True
ids_ips,129.0,85.38461538461539,True
ids_ips,132.0,84.2948717948718,True
ids_ips,135.0,84.35897435897436,True
ids_ips,138.0,85.57692307692308,True
ids_ips,141.0,83.78205128205128,True
ids_ips,144.0,85.7051282051282,True
ids_ips,147.0,84.8076923076923,True
ids_ips,150.0,85.32051282051282,True
ids_ips,153.0,84.87179487179488,True
ids_ips,156.0,84.67948717948718,True
ids_ips,159.0,85.32051282051282,True
ids_ips,162.0,84.87179487179488,True
ids_ips,165.0,83.65384615384616,True
ids_ips,168.0,85.06410256410257,True
ids_ips,171.0,85.06410256410257,True
ids_ips,174.0,85.7051282051282,True
ids_ips,177.0,85.64102564102564,True
ids_ips,180.0,91.98717948717949,False
ids_ips,183.0,90.8974358974359,False
ids_ips,186.0,91.53846153846153,False
ids_ips,189.0,90.25641025641025,False
ids_ips,192.0,91.7948717948718,False
ids_ips,195.0,92.17948717948718,False
ids_ips,198.0,92.43589743589743,False
ids_ips,201.0,90.12820512820512,False
ids_ips,204.0,91.34615384615385,False
ids_ips,207.0,92.05128205128206,False
ids_ips,210.0,90.8974358974359,False
ids_ips,213.0,91.28205128205128,False
ids_ips,216.0,92.56410256410255,False
ids_ips,219.0,90.06410256410257,False
ids_ips,222.0,91.7948717948718,False
ids_ips,225.0,91.66666666666667,False
ids_ips,228.0,91.53846153846153,False
ids_ips,231.0,91.6025641025641,False
ids_ips,234.0,91.47435897435898,False
ids_ips,237.0,90.96153846153847,False
ids_ips,240.0,92.6923076923077,False
ids_ips,243.0,91.34615384615384,False
ids_ips,246.0,91.47435897435898,False
ids_ips,249.0,90.64102564102564,False
ids_ips,252.0,91.47435897435898,False
ids_ips,255.0,91.6025641025641,False
ids_ips,258.0,91.92307692307692,False
ids_ips,261.0,91.08974358974359,False
ids_ips,264.0,90.76923076923077,False
ids_ips,267.0,91.6025641025641,False
ids_ips,270.0,91.34615384615384,False
ids_ips,273.0,92.43589743589743,False
ids_ips,276.0,91.21794871794872,False
ids_ips,279.0,91.28205128205128,False
ids_ips,282.0,90.76923076923077,False
ids_ips,285.0,91.85897435897436,False
ids_ips,288.0,91.21794871794872,False
ids_ips,291.0,91.6025641025641,False
ids_ips,294.0,92.05128205128204,False
ids_ips,297.0,90.57692307692308,False
static_sdn,0.0,99.48717948717949,False
static_sdn,3.0,99.35897435897436,False
static_sdn,6.0,99.16666666666667,False
static_sdn,9.0,99.67948717948718,False
static_sdn,12.0,99.67948717948718,False
static_sdn,15.0,99.8076923076923,False
static_sdn,18.0,99.55128205128206,False
static_sdn,21.0,99.61538461538461,False
static_sdn,24.0,99.67948717948718,False
static_sdn,27.0,99.2948717948718,False
static_sdn,30.0,99.35897435897436,False
static_sdn,33.0,99.61538461538461,False
static_sdn,36.0,99.8076923076923,False
static_sdn,39.0,99.23076923076923,False
static_sdn,42.0,99.35897435897436,False
static_sdn,45.0,99.16666666666667,False
static_sdn,48.0,99.35897435897436,False
static_sdn,51.0,99.55128205128206,False
static_sdn,54.0,99.61538461538461,False
static_sdn,57.0,99.35897435897436,False
static_sdn,60.0,97.05128205128204,True
static_sdn,63.0,97.5,True
static_sdn,66.0,97.11538461538461,True
static_sdn,69.0,96.85897435897436,True
static_sdn,72.0,97.17948717948718,True
static_sdn,75.0,97.24358974358974,True
static_sdn,78.0,97.17948717948718,True
static_sdn,81.0,97.24358974358975,True
static_sdn,84.0,97.3076923076923,True
static_sdn,87.0,97.6923076923077,True
static_sdn,90.0,97.11538461538461,True
static_sdn,93.0,97.17948717948718,True
static_sdn,96.0,96.92307692307692,True
static_sdn,99.0,96.98717948717949,True
static_sdn,102.0,97.43589743589743,True
static_sdn,105.0,97.43589743589743,True
static_sdn,108.0,97.3076923076923,True
static_sdn,111.0,97.24358974358974,True
static_sdn,114.0,97.5,True
static_sdn,117.0,97.3076923076923,True
static_sdn,120.0,97.37179487179488,True
static_sdn,123.0,97.05128205128204,True
static_sdn,126.0,97.43589743589743,True
static_sdn,129.0,97.05128205128204,True
static_sdn,132.0,96.85897435897436,True
static_sdn,135.0,97.5,True
static_sdn,138.0,96.7948717948718,True
static_sdn,141.0,96.73076923076923,True
static_sdn,144.0,96.66666666666667,True
static_sdn,147.0,96.98717948717949,True
static_sdn,150.0,97.05128205128204,True
static_sdn,153.0,97.24358974358974,True
static_sdn,156.0,97.3076923076923,True
static_sdn,159.0,97.24358974358974,True
static_sdn,162.0,97.24358974358974,True
static_sdn,165.0,97.3076923076923,True
static_sdn,168.0,97.05128205128204,True
static_sdn,171.0,97.05128205128204,True
static_sdn,174.0,97.24358974358974,True
static_sdn,177.0,97.37179487179488,True
static_sdn,180.0,99.42307692307692,False
static_sdn,183.0,99.67948717948718,False
static_sdn,186.0,99.74358974358975,False
static_sdn,189.0,99.61538461538461,False
static_sdn,192.0,99.67948717948718,False
static_sdn,195.0,99.55128205128206,False
static_sdn,198.0,99.42307692307692,False
static_sdn,201.0,99.42307692307692,False
static_sdn,204.0,99.42307692307692,False
static_sdn,207.0,99.48717948717949,False
static_sdn,210.0,99.61538461538461,False
static_sdn,213.0,99.23076923076923,False
static_sdn,216.0,99.55128205128206,False
static_sdn,219.0,99.2948717948718,False
static_sdn,222.0,99.61538461538461,False
static_sdn,225.0,99.23076923076923,False
static_sdn,228.0,99.23076923076923,False
static_sdn,231.0,99.16666666666667,False
static_sdn,234.0,99.67948717948718,False
static_sdn,237.0,99.35897435897436,False
static_sdn,240.0,99.23076923076923,False
static_sdn,243.0,99.61538461538461,False
static_sdn,246.0,99.74358974358975,False
static_sdn,249.0,99.03846153846155,False
static_sdn,252.0,99.48717948717949,False
static_sdn,255.0,99.2948717948718,False
static_sdn,258.0,99.55128205128206,False
static_sdn,261.0,99.55128205128206,False
static_sdn,264.0,99.67948717948718,False
static_sdn,267.0,99.61538461538461,False
static_sdn,270.0,99.48717948717949,False
static_sdn,273.0,99.67948717948718,False
static_sdn,276.0,99.55128205128206,False
static_sdn,279.0,99.42307692307693,False
static_sdn,282.0,99.03846153846155,False
static_sdn,285.0,99.48717948717949,False
static_sdn,288.0,99.74358974358975,False
static_sdn,291.0,99.55128205128206,False
static_sdn,294.0,99.55128205128204,False
static_sdn,297.0,99.55128205128206,False
