trial,system,seed,cr_pct,tresp_s,fpr_pct,fcr_pct,na_pct,tresp_std_s,tresp_n,na_min_pct,n_flow_obs,n_attack_obs,n_benign_obs,n_rules_total,peak_concurrent_rules,controller_load_final,moop_utility
0,traditional_firewall,42,71.4429012345679,44.989445556666816,12.0,9.97,87.90384615384616,1.348554766804071,9259,82.05128205128206,32960,12960,20000,0,0,0.246,0.40706929724596397
1,traditional_firewall,43,71.50462962962963,45.01779658246306,12.265,10.125,87.81410256410257,1.346662115531919,9267,81.41025641025641,32960,12960,20000,0,0,0.246,0.4066717236467237
2,traditional_firewall,44,71.66666666666667,44.979430806829406,12.45,10.2,87.82692307692308,1.3526983818022094,9288,82.05128205128206,32960,12960,20000,0,0,0.246,0.4071205128205128
3,traditional_firewall,45,71.67438271604938,45.009438772098044,11.735,9.675,88.36538461538461,1.3470467723017054,9289,80.76923076923077,32960,12960,20000,0,0,0.246,0.40980330009496674
4,traditional_firewall,46,71.79783950617283,45.02369989896208,11.99,9.865,88.0,1.3666987046210153,9305,83.33333333333333,32960,12960,20000,0,0,0.246,0.4089963580246914
5,traditional_firewall,47,71.36574074074075,44.976955652425225,12.065,9.905,88.14102564102564,1.3570579872555326,9249,80.76923076923077,32960,12960,20000,0,0,0.246,0.4074300142450143
6,traditional_firewall,48,71.59722222222223,44.99576185401987,11.62,9.59,88.41025641025641,1.3463644768355238,9279,82.05128205128206,32960,12960,20000,0,0,0.246,0.4098394017094017
7,traditional_firewall,49,71.91358024691358,44.995476180840534,12.37,10.2,87.74358974358974,1.3627586517718733,9320,80.76923076923077,32960,12960,20000,0,0,0.246,0.40794150047483374
8,traditional_firewall,50,71.89814814814815,44.996438003344934,12.245,10.095,87.78846153846153,1.3334218159854576,9318,81.41025641025641,32960,12960,20000,0,0,0.246,0.4082845156695157
9,traditional_firewall,51,71.79012345679013,44.999130098711646,11.745,9.84,88.08974358974359,1.3317502877126066,9304,82.6923076923077,32960,12960,20000,0,0,0.246,0.40921998100664775
0,ids_ips,42,77.90895061728395,30.007929494197214,8.015,6.175,92.01923076923077,0.894399251706506,10097,87.82051282051282,32960,12960,20000,0,0,0.246,0.4525492640075974
1,ids_ips,43,77.87037037037037,30.016003323785583,8.65,6.735,91.41666666666667,0.9078395779950251,10092,85.25641025641026,32960,12960,20000,0,0,0.246,0.4495098148148148
2,ids_ips,44,78.10956790123457,29.995308848081795,8.62,6.52,91.58333333333333,0.9162372054467716,10123,87.17948717948718,32960,12960,20000,0,0,0.246,0.451444938271605
3,ids_ips,45,77.91666666666667,30.0085521712267,8.335,6.25,91.96794871794872,0.9015633516314189,10098,85.8974358974359,32960,12960,20000,0,0,0.246,0.45225256410256415
4,ids_ips,46,78.08641975308642,29.997382259333698,8.27,6.225,91.98076923076923,0.9023514062649269,10120,87.17948717948718,32960,12960,20000,0,0,0.246,0.45303221747388417
5,ids_ips,47,77.77777777777777,30.002731495462058,8.21,6.18,91.98076923076923,0.9042889852966955,10080,85.25641025641026,32960,12960,20000,0,0,0.246,0.45193264957264956
6,ids_ips,48,77.93981481481481,29.99033164690626,8.455,6.54,91.57051282051282,0.9021779575514278,10101,85.8974358974359,32960,12960,20000,0,0,0.246,0.45068028490028494
7,ids_ips,49,77.85493827160494,30.002302339336513,8.43,6.35,91.8525641025641,0.8958365361368528,10090,86.53846153846153,32960,12960,20000,0,0,0.246,0.45147488129154795
8,ids_ips,50,78.23302469135803,29.989054274377068,8.6,6.58,91.58333333333333,0.8885044623561519,10139,85.25641025641026,32960,12960,20000,0,0,0.246,0.45175876543209875
9,ids_ips,51,77.91666666666667,29.99727631334531,8.275,6.405,91.58333333333333,0.8903960728249384,10098,85.25641025641026,32960,12960,20000,0,0,0.246,0.45101833333333335
0,static_sdn,42,85.0925925925926,15.000732917511623,4.47,4.47,94.38461538461539,0.4507413290662359,11028,87.82051282051282,32960,12960,20000,3406,82,0.6182799999999999,0.4539016011396013
1,static_sdn,43,85.11574074074075,14.99631365176137,4.445,4.445,94.40384615384616,0.448769466179492,11031,91.02564102564102,32960,12960,20000,3428,78,0.60012,0.4559236552706553
2,static_sdn,44,85.1929012345679,15.000962740573925,4.465,4.465,94.35897435897436,0.45201665588276385,11041,91.02564102564102,32960,12960,20000,3435,80,0.6092,0.4551745536562204
3,static_sdn,45,84.96141975308642,14.999158249616377,4.355,4.355,94.48717948717949,0.4525488105942732,11011,90.38461538461539,32960,12960,20000,3406,79,0.60466,0.4552890379867046
4,static_sdn,46,85.07716049382717,15.004844771123494,4.415,4.415,94.48076923076923,0.45174225423618786,11026,91.66666666666667,32960,12960,20000,3416,77,0.59558,0.4564671804368472
5,static_sdn,47,85.4320987654321,15.001125116211607,4.195,4.195,94.80128205128206,0.4499971685201963,11072,89.74358974358974,32960,12960,20000,3333,79,0.60466,0.45827995916429254
6,static_sdn,48,85.17746913580247,15.015069727996114,4.825,4.825,93.9551282051282,0.4495193262212153,11039,89.74358974358974,32960,12960,20000,3477,80,0.6092,0.45322513295346634
7,static_sdn,49,84.7608024691358,15.005703453471693,4.435,4.435,94.33974358974359,0.4481276483959898,10985,89.74358974358974,32960,12960,20000,3435,80,0.6092,0.4534976970560305
8,static_sdn,50,84.96913580246914,15.001313604839096,4.55,4.55,94.19871794871796,0.44810457799655756,11012,90.38461538461539,32960,12960,20000,3428,81,0.61374,0.4532499791073125
9,static_sdn,51,85.08487654320987,15.002685806868108,4.44,4.44,94.43589743589743,0.4503204013146848,11027,89.1025641025641,32960,12960,20000,3421,81,0.61374,0.45451730104463445
